Iterations,VI avg moves,QL avg moves
3610,158.6,372.4
3615,121.6,392.5
3620,216.3,252.5
3625,156.9,453.9
3630,198,325.4
3635,139.5,372.5
3640,197.4,333.9
3645,164.3,325.7
3650,182.4,185.6
3655,153,314.2
3660,161.8,242.8
3665,161.4,261.2
3670,137.5,402.6
3675,158.1,48.2
3680,225.8,472.5
3685,202.6,306.7
3690,231.3,423.9
3695,131.4,355
3700,103.1,295.4
3705,244.8,341.6
3710,266.4,332.5
3715,104.8,175.6
3720,233.6,452.7
3725,252,432.5
3730,189.2,256.9
3735,141.2,411.3
3740,188.6,451.6
3745,198.3,271.3
3750,143.4,253.8
3755,181.8,294.2
3760,181.7,491.6
3765,202.3,431.6
3770,194.4,386.9
3775,228.8,322.5
3780,160,405.5
3785,246.5,293.7
3790,237.8,422.5
3795,143.5,153.8
3800,148.2,333.9
3805,182.7,522.6
3810,148.9,353.9
3815,154,334.1
3820,215.5,186.6
3825,128.9,348
3830,126.4,382.6
3835,159.6,581.4
3840,280.3,345.3
3845,190.4,235.2
3850,211.4,285.2
3855,111.8,315.2
3860,167.2,315.5
3865,160.4,472.6
3870,168.5,431.2
3875,208.8,462.7
3880,177,332.7
3885,149.5,323.9
3890,230.3,315.5
3895,197.8,392.5
3900,160.2,286.8
3905,161.7,275.2
3910,273.7,321.3
3915,191.2,581.4
3920,202.8,353.8
3925,135.5,534
3930,222.2,491.3
3935,224.6,303.8
3940,200,391.2
3945,170.6,611.4
3950,125.5,334.2
3955,127.9,226.5
3960,128.1,312.6
3965,158.8,445.3
3970,117.4,284.2
3975,173.8,364
3980,172.4,441.1
3985,174.8,305.2
3990,282.7,305.3
3995,163.9,452.7
4000,180.3,514
4005,191.4,216.6
4010,207.3,295.4
4015,257.1,354
4020,97.9,333.9
4025,174.3,265
4030,184.8,237.7
4035,148,325.1
4040,184.7,405.2
4045,113.5,67.7
4050,181.1,216.3
4055,243.8,216.8
4060,160.7,355.2
4065,142.7,195.4
4070,198.6,284.9
4075,125,158
4080,146,266.2
4085,211.1,257.9
4090,114.6,286.4
4095,202.2,167.3
4100,168,275.3
4105,168.3,432.6
4110,116.9,326.8
4115,97.8,293.5
4120,163.9,395.2
4125,202.5,246.3
4130,151.9,343.8
4135,136.9,395
4140,148.8,148.8
4145,271.8,94.8
4150,111.7,284.8
4155,143.8,325.1
4160,195.9,225.1
4165,120.1,324.9
4170,236.7,278
4175,140.6,276.2
4180,125.6,225.1
4185,139,316.3
4190,177.1,167.4
4195,163.5,97.4
4200,182.4,343.7
4205,161.2,216.1
4210,229.1,292.4
4215,184.5,259.1
4220,146,246.3
4225,177.8,314.2
4230,189.3,335
4235,148.9,284.7
4240,186.7,159.3
4245,160.4,39
4250,166.1,377.4
4255,196.5,215.1
4260,129.3,258.9
4265,292.9,227.5
4270,189.2,117.9
4275,146,196
4280,236.4,293.5
4285,139.9,156.5
4290,128.8,316.5
4295,282.5,156.3
4300,161.5,194.8
4305,149.4,233.8
4310,265.7,177.6
4315,180.2,284.9
4320,141.1,237.7
4325,191.6,324.9
4330,156.9,256.6
4335,256.6,264.9
4340,204.9,214.9
4345,178.7,343.7
4350,158.9,254.9
4355,120.1,194.8
4360,127.5,194.8
4365,225.9,297.6
4370,182,364.9
4375,151.3,194.9
4380,231.6,276
4385,236.1,406.5
4390,119.6,405.1
4395,148.5,256.2
4400,137.9,258.7
4405,120.6,277.5
4410,185.1,276.4
4415,168.5,314.9
4420,240,256.1
4425,199.8,297.9
4430,112.1,276.1
4435,187,306.2
4440,132,277.7
4445,127.5,276.6
4450,188.1,294.9
4455,146.6,238.8
4460,222.9,254.8
4465,102.2,267.8
4470,195.2,274.8
4475,134.2,315
4480,147,296.5
4485,256.1,324.9
4490,183.4,246.4
4495,138.1,187.3
4500,95.2,375
4505,138.2,147.7
4510,230.3,168
4515,202.9,267.7
4520,179.3,248.7
4525,151.8,285.1
4530,175.2,257.6
4535,257.4,278
4540,107.5,276.3
4545,193.8,314.7
4550,83.2,237.8
4555,141.2,237.7
4560,114.3,366.1
4565,121,376.8
4570,148.8,186.4
4575,167.4,286.1
4580,150.4,259.1
4585,158.2,147.1
4590,159,284.9
4595,143.3,306.3
4600,160.6,246.7
4605,224.4,325
4610,212.2,267.8
4615,131.3,326.3
4620,152.8,225.2
4625,120.6,276.1
4630,192.9,295.1
4635,237.1,267.7
4640,156.3,276.3
4645,148.3,229.2
4650,134,216.6
4655,222.7,186.8
4660,132.7,266.2
4665,127.1,196.6
4670,173,267.7
4675,187,333.7
4680,183.5,236.8
4685,129.9,307.9
4690,170.2,244.9
4695,156.8,177.7
4700,134,214.8
4705,147.9,296.4
4710,170,187.4
4715,222.4,306.3
4720,130.2,285
4725,97.1,238
4730,218.4,256.3
4735,181.4,256
4740,121.2,177.5
4745,143.6,284.8
4750,156.7,176.5
4755,150.4,266.2
4760,195.8,228.9
4765,153.1,266.9
4770,172.9,186.3
4775,126,167.4
4780,121.4,237.5
4785,111.6,276.4
4790,162.1,297.6
4795,171.4,276.4
4800,162.7,147.7
4805,209.8,257.3
4810,198.5,258.8
4815,170.4,237.8
4820,97.8,147.4
4825,93.9,246.3
4830,158.2,296.6
4835,188.6,296.3
4840,191.5,197.6
4845,168.8,267.6
4850,154.2,228.6
4855,154.9,296.2
4860,177.9,276.1
4865,160.9,268.1
4870,173.7,238.8
4875,193.7,138.9
4880,178.9,286.3
4885,158.9,138.9
4890,149.1,138.7
4895,161,228.9
4900,332.5,247.4
4905,169.6,167.5
4910,142.1,246.2
4915,131.5,268
4920,213,229.3
4925,176.6,257.5
4930,161.5,147.5
4935,184.7,156.5
4940,128.2,147.4
4945,196.4,276.4
4950,169.5,237.4
4955,208.6,228.9
4960,148.5,276.3
4965,147.2,276.5
4970,165.3,249
4975,134,229.2
4980,176,177.5
4985,107.3,267.4
4990,200.1,287.4
4995,240.3,267.1
5000,107.5,257.3
5005,155.6,167.6
5010,129.2,287.3
5015,141.6,267.6
5020,103.1,304.9
5025,153.3,228.9
5030,171.3,206
5035,120.6,258.2
5040,101.5,268.3
5045,93.2,286.1
5050,145.2,228.7
5055,118.9,276
5060,202.1,237.6
5065,153.1,138.5
5070,140.9,247.8
5075,186,238.9
5080,119,167.4
5085,162.9,257.8
5090,124.6,258.8
5095,148,138.6
5100,154.4,237.6
5105,124.4,237.7
5110,122.9,121.8
5115,186.6,119.9
5120,143.5,219.9
5125,211.9,58.9
