Iterations,VI avg moves,QL avg moves
4930,12672.2,410
4935,11967.1,312.5
4940,12462.6,375
4945,11834.8,242.5
4950,11108.8,425
4955,13000,325
4960,12911.6,287.5
4965,11552.6,292.5
4970,13000,265
4975,11781.9,402.5
4980,12706.2,400
4985,11780.4,335
4990,12594.8,212.5
4995,12409.3,380
5000,13000,162.5
5005,12190.1,320
5010,12055.7,192.5
5015,11997.8,272.5
5020,11944.5,387.5
5025,11756.3,310
5030,12352.6,452.5
5035,11477.4,550
5040,10852.1,630
5045,11877.7,330
5050,13000,290
5055,12138.3,465
5060,12181.6,232.5
5065,12944.7,265
5070,13000,402.5
5075,12578.8,392.5
5080,12773.3,192.5
5085,11128,272.5
5090,11510,285
5095,13000,620
5100,12043.9,517.5
5105,11215.9,257.5
5110,12539.9,332.5
5115,12040.8,540
5120,11604.5,550
5125,12662.2,400
5130,12092.7,292.5
5135,11651.3,240
5140,12836.3,297.5
5145,11737.5,577.5
5150,12284.6,222.5
5155,12336,360
5160,11993.8,420
5165,11752.7,410
5170,12351.4,560
5175,12296.8,357.5
5180,12624.6,395
5185,12123.1,590
5190,12054.2,292.5
5195,12219.4,350
5200,13000,227.5
5205,11848.9,185
5210,12100.9,192.5
5215,12382,382.5
5220,11177.8,352.5
5225,11068.9,660
5230,11119.4,167.5
5235,11349.7,430
5240,11892.3,322.5
5245,13000,232.5
5250,12197.3,300
5255,12391.5,525
5260,11668.2,347.5
5265,12300.1,257.5
5270,12145.4,335
5275,12383.1,267.5
5280,12082.7,385
5285,12762.3,180
5290,12152.8,417.5
5295,11788.5,500
5300,12265.7,377.5
5305,12049.5,510
5310,11866,500
5315,11456.5,360
5320,12251.1,252.5
5325,11627.8,382.5
5330,11267.2,282.5
5335,11349.9,372.5
5340,12174.2,362.5
5345,11956.8,320
5350,13000,462.5
5355,11062.3,405
5360,11976,300
5365,13000,232.5
5370,12376.3,440
5375,11824.1,390
5380,12014.9,262.5
5385,11726.5,300
5390,11296.4,362.5
5395,11937.2,312.5
5400,12159.9,350
5405,10638.3,310
5410,11265.8,152.5
5415,12309.3,420
5420,12318.7,372.5
5425,12336.3,442.5
5430,13000,270
5435,12266.5,370
5440,12150.2,430
5445,11983.3,400
5450,12234.5,212.5
5455,11463.1,260
5460,11672.8,285
5465,12151.4,272.5
5470,12454.1,312.5
5475,12371.6,352.5
5480,12334.2,220
5485,10733.6,270
5490,12529.3,442.5
5495,12276,192.5
5500,13000,342.5
5505,10886.2,490
5510,12341.4,342.5
5515,12082.6,340
5520,12247.9,245
5525,12082.7,232.5
5530,10946,410
5535,12075.1,370
5540,11848.7,372.5
5545,11895,172.5
5550,11489.2,340
5555,11971.4,392.5
5560,12341.5,240
5565,12500,422.5
5570,11541,400
5575,11453.8,270
5580,11068.5,462.5
5585,11875.1,220
5590,11671.5,215
5595,11747.9,482.5
5600,11936.5,350
5605,11157.2,210
5610,10704.6,470
5615,11499.8,520
5620,11495.8,362.5
5625,12192.2,330
5630,12948.1,422.5
5635,12087.7,405
5640,13000,400
5645,11286,272.5
5650,11302.7,357.5
5655,11011.9,310
5660,12619.3,365
5665,12349.1,425
5670,11912,470
5675,12676.2,430
5680,12200.9,330
5685,11598.4,470
5690,12318.1,440
5695,11696.4,232.5
5700,11872.2,292.5
5705,11964.9,400
5710,12466.5,300
5715,12387.8,472.5
5720,11991.7,440
5725,11577.6,320
5730,12138.2,420
5735,11534.5,300
5740,13000,310
5745,12868,500
5750,10911.7,392.5
5755,12197.2,410
5760,11143.8,452.5
5765,11882.7,412.5
5770,11175.9,462.5
5775,12009,292.5
5780,11776.9,262.5
5785,11593.8,430
5790,12921.5,280
5795,12607.2,510
5800,12011.4,500
5805,11208.8,290
5810,12647,530
5815,12032.1,362.5
5820,11026.2,420
5825,11958.4,430
5830,11132.7,360
5835,10809.1,422.5
5840,12456.4,442.5
5845,10802.2,210
5850,10948.9,270
5855,11871.5,190
5860,12839.3,420
5865,11384.3,480
5870,12156.1,250
5875,11711.9,312.5
5880,12480.4,320
5885,11180.3,250
5890,12044.1,350
5895,12438,190
5900,12419.7,312.5
5905,10744.6,312.5
5910,11633.1,270
5915,12344.7,422.5
5920,12443.3,250
5925,12473.9,340
5930,11299.6,412.5
5935,13000,380
5940,12596.3,490
5945,11460.8,200
5950,10965,660
5955,11020,550
5960,11395.5,402.5
5965,12663,340
5970,12386.7,380
5975,12093.8,312.5
5980,11371.3,570
5985,12160.3,290
5990,11118,620
5995,13000,360
6000,11868.6,332.5
6005,12319.5,452.5
6010,11705.6,512.5
6015,12563,380
6020,11344.9,520
6025,13000,190
6030,12357.3,442.5
6035,11535.8,422.5
6040,11057.6,390
6045,11679.8,342.5
6050,12050.5,420
6055,11275.8,330
6060,11809.2,180
6065,11404.2,460
6070,10524.1,350
6075,11290.5,660
6080,11008.4,510
6085,12396.3,460
6090,12160.1,360
6095,11865.6,330
6100,11326.8,470
6105,11347.7,410
6110,12414.9,250
6115,11194.6,340
6120,10711,252.5
6125,11733,252.5
6130,11995.5,560
6135,11850.4,332.5
