Iterations,VI avg moves,QL avg moves
3305,290.8,260
3310,261,250
3315,204.7,290
3320,258.2,230
3325,136,210
3330,162.3,310
3335,193.6,320
3340,124.1,320
3345,205.7,350
3350,173.5,270
3355,169.7,182.7
3360,215.9,370
3365,152.3,220
3370,188.1,210
3375,180.4,280
3380,129.8,260
3385,218,150
3390,99.5,360
3395,187.6,270
3400,218.7,250
3405,184.1,260
3410,248.8,210
3415,167.6,222.7
3420,277,260
3425,260.3,290
3430,188,220
3435,186.5,200
3440,180.8,290
3445,225.2,160
3450,166.2,340
3455,226.4,270
3460,145.8,270
3465,217.9,310
3470,223.5,250
3475,217.4,200
3480,178.8,320
3485,195.1,240
3490,212.7,180
3495,172.4,240
3500,206.8,220
3505,255.4,320
3510,161,220
3515,158.9,300
3520,243.5,180
3525,223.6,290
3530,233.7,270
3535,138.2,290
3540,199.8,360
3545,181,220
3550,225.8,200
3555,176.2,350
3560,195.2,210
3565,192.4,210
3570,203.9,270
3575,200.7,330
3580,164.2,220
3585,189.6,270
3590,132.1,220
3595,237.1,270
3600,208.1,230
3605,188.5,260
3610,158.6,250
3615,121.6,290
3620,216.3,290
3625,156.9,190
3630,198,260
3635,139.5,240
3640,197.4,250
3645,164.3,262.5
3650,182.4,180
3655,153,230
3660,161.8,280
3665,161.4,250
3670,137.5,152.5
3675,158.1,190
3680,225.8,272.5
3685,202.6,190
3690,231.3,212.5
3695,131.4,242.5
3700,103.1,220
3705,244.8,320
3710,266.4,242.5
3715,104.8,290
3720,233.6,220
3725,252,232.5
3730,189.2,142.5
3735,141.2,320
3740,188.6,230
3745,198.3,310
3750,143.4,280
3755,181.8,250
3760,181.7,180
3765,202.3,200
3770,194.4,152.5
3775,228.8,190
3780,160,152.5
3785,246.5,300
3790,237.8,240
3795,143.5,272.5
3800,148.2,190
3805,182.7,280
3810,148.9,280
3815,154,280
3820,215.5,360
3825,128.9,310
3830,126.4,172.5
3835,159.6,250
3840,280.3,250
3845,190.4,220
3850,211.4,252.5
3855,111.8,370
3860,167.2,252.5
3865,160.4,202.5
3870,168.5,230
3875,208.8,260
3880,177,132.5
3885,149.5,240
3890,230.3,190
3895,197.8,230
3900,160.2,142.5
3905,161.7,180
3910,273.7,340
3915,191.2,232.5
3920,202.8,160
3925,135.5,140
3930,222.2,222.5
3935,224.6,220
3940,200,310
3945,170.6,220
3950,125.5,310
3955,127.9,210
3960,128.1,172.5
3965,158.8,322.5
3970,117.4,122.5
3975,173.8,202.5
3980,172.4,382.5
3985,174.8,230
3990,282.7,170
3995,163.9,232.5
4000,180.3,210
4005,191.4,160
4010,207.3,202.5
4015,257.1,190
4020,97.9,200
4025,174.3,250
4030,184.8,200
4035,148,270
4040,184.7,250
4045,113.5,290
4050,181.1,180
4055,243.8,200
4060,160.7,180
4065,142.7,150
4070,198.6,310
4075,125,240
4080,146,300
4085,211.1,220
4090,114.6,250
4095,202.2,320
4100,168,240
4105,168.3,210
4110,116.9,190
4115,97.8,220
4120,163.9,260
4125,202.5,270
4130,151.9,250
4135,136.9,290
4140,148.8,280
4145,271.8,270
4150,111.7,190
4155,143.8,170
4160,195.9,160
4165,120.1,190
4170,236.7,290
4175,140.6,250
4180,125.6,270
4185,139,180
4190,177.1,370
4195,163.5,310
4200,182.4,240
